央视,#genre#

CCTV1,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226016
CCTV1,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226559
CCTV2,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225588
CCTV3,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021
CCTV4,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226428
CCTV5,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226019
CCTV5+,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225603
CCTV6,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226010
CCTV7,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225733
CCTV8,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226008
CCTV9,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225734
CCTV10,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225730
CCTV10,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226473
CCTV11,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226565
CCTV12,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225731
CCTV12,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226568
CCTV13,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226011
CCTV13,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226537
CCTV13,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226571
CCTV14,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225732
CCTV14,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226591
CCTV15,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226476
CCTV16,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226100
CCTV17,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225765

CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
